,expected,cellID,pulse_index,freq,sample_size,gamma,slope,r2_sdn,r2_lin
109,0,5611.0,8.0,30.0,5,2.7175851562500006,0.5031296875,0.9049384196958998,0.5625105489479004
111,0,5291.0,1000.0,1000.0,288,5.509089062499999,0.66435078125,-1.7687911357526134,-2.5635396302439113
112,0,5291.0,0.0,1000.0,32,6.381159374999999,0.70253671875,-5.0778677294353365,-7.438526605824052
113,0,5291.0,0.0,20.0,8,5.457663671875,0.60518046875,-2.785827896909658,-4.664825990366874
114,0,5291.0,0.0,50.0,8,15.8112234375,0.9928640625,-4.8932412855393785,-5.479640904116653
115,0,5291.0,0.0,40.0,8,5.6130812500000005,0.6885765625,-11.590760101715288,-17.19918948472538
116,0,5291.0,0.0,30.0,8,5.784035546875,0.677878515625,-15.686695166223341,-22.140694136427783
118,0,5291.0,1.0,1000.0,32,6.381159374999999,0.70253671875,-5.0778677294353365,-7.438526605824052
119,0,5291.0,1.0,20.0,8,5.457663671875,0.60518046875,-2.785827896909658,-4.664825990366874
120,0,5291.0,1.0,50.0,8,15.8112234375,0.9928640625,-4.8932412855393785,-5.479640904116653
121,0,5291.0,1.0,40.0,8,5.6130812500000005,0.6885765625,-11.590760101715288,-17.19918948472538
122,0,5291.0,1.0,30.0,8,5.784035546875,0.677878515625,-15.686695166223341,-22.140694136427783
124,0,5291.0,2.0,1000.0,32,15.115434375,0.92558125,-3.8292131357490584,-4.3171893578220315
125,0,5291.0,2.0,20.0,8,52.334616796875,1.008344921875,-1.202088028194289,-1.2965501377718582
126,0,5291.0,2.0,50.0,8,31.240434375,1.197065625,-18.051872638602315,-17.522664333017023
127,0,5291.0,2.0,40.0,8,12.51816640625,0.926313671875,-4.816777335351909,-5.476242069151265
128,0,5291.0,2.0,30.0,8,4.876320703125,0.646040234375,-4.853892030493067,-6.614013259898196
130,0,5291.0,3.0,1000.0,32,6.8928664062500005,0.73661640625,-2.005542113435099,-2.6108213313077426
131,0,5291.0,3.0,20.0,8,12.98311015625,0.797175,-0.7498782411172797,-1.335416189763495
132,0,5291.0,3.0,50.0,8,18.702292578125,1.1170875,-12.105797206310143,-12.300221416221687
133,0,5291.0,3.0,40.0,8,6.434758593750001,0.770951953125,-1.651928916051053,-2.12607047194007
134,0,5291.0,3.0,30.0,8,2.2490675781249996,0.39813750000000003,-2.092886066108232,-3.7233808525296928
136,0,5291.0,4.0,1000.0,32,5.3689406250000005,0.66766875,-2.0318531400662136,-2.798198482796951
137,0,5291.0,4.0,20.0,8,4.1867234374999995,0.53183828125,-5.045997715588566,-8.935479073844622
138,0,5291.0,4.0,50.0,8,32.54062734375,1.1902296875,-18.591366897737213,-18.05492764542603
139,0,5291.0,4.0,40.0,8,6.5925734375000005,0.75947734375,-1.108288188520635,-1.4157870964685668
140,0,5291.0,4.0,30.0,8,2.9254929687500004,0.4777390625,-3.235936843500453,-5.602340598388911
142,0,5291.0,5.0,1000.0,32,4.00840078125,0.57353046875,-1.5042131554269909,-2.3741524610149436
143,0,5291.0,5.0,20.0,8,2.953225,0.4295875,-2.7367534006426237,-5.375397318666517
144,0,5291.0,5.0,50.0,8,16.3992140625,1.051801953125,-7.520946200700839,-7.9652798652540895
