Row Labels,Cell ID,NumSq,stimFreq,Average of P0,Average of P1,Average of P2,Average of P3,Average of P4,Average of P5,Average of P6,Average of P7,Average of P8,Average of P0,Average of P1,Average of P2,Average of P3,Average of P4,Average of P5,Average of P6,Average of P7,Average of P8,EI0,EI1,EI2,EI3,EI4,EI5,EI6,EI7,EI8
49,2341,5,20,53.85562298,53.85562298,37.19682717,28.38165011,28.11892768,24.57675079,18.35379302,18.51124007,21.15913922,160.3325112,160.3325112,121.5100495,92.56350949,61.34478947,41.32228997,31.20135476,41.09283587,30.76521014,0.335899579,0.335899579,0.306121406,0.306618129,0.45837516,0.594757716,0.588237055,0.450473657,0.687761895
50,2341,5,20,74.59760279,74.59760279,62.84718354,42.03771268,30.55395409,28.46392202,25.51120732,23.63714459,21.16426942,148.6630575,148.6630575,134.2640933,100.1861843,89.6863117,67.43680242,55.51864885,44.79204508,41.21998403,0.501789779,0.501789779,0.468086306,0.419595905,0.340675779,0.422082913,0.459506992,0.527708537,0.513446813
46,2342,5,20,1273.273283,1273.273283,800.8567159,796.9805941,91.1719508,61.40252039,42.95658208,51.10445332,57.90213905,50.14684634,50.14684634,84.16608435,103.693793,96.47756751,72.07371945,50.92075824,34.27570302,21.1041019,25.39089445,25.39089445,9.515195131,7.685904534,0.945006732,0.851940497,0.84359667,1.490981915,2.743643834
47,2342,5,20,1301.255754,1301.255754,954.1391609,872.4635078,106.5968734,66.99510978,57.28556027,40.76917849,51.31402138,61.99858956,61.99858956,101.9785415,105.6870387,89.51772285,71.26430535,52.82230856,35.85731156,25.56781991,20.9884735,20.9884735,9.356273846,8.255160883,1.190790717,0.940093493,1.084495582,1.136983692,2.0069768
48,2342,5,20,673.4922924,673.4922924,1089.79689,1286.81505,354.9484593,203.7315634,78.99852427,53.90217047,32.26823193,69.0644705,69.0644705,97.76178321,105.9220802,89.21585609,65.90391184,49.65898133,36.13575064,25.62734219,9.75164636,9.75164636,11.14747352,12.14869503,3.978535597,3.091342498,1.590820475,1.491657694,1.259132987
49,2342,5,20,1324.306415,1324.306415,1724.214905,390.9749871,88.79614594,65.61852469,57.7372478,43.68634093,45.79015118,61.47443557,61.47443557,102.1178074,112.6252514,88.87821953,69.73843581,48.69416199,37.79280966,26.94171611,21.54239242,21.54239242,16.88456645,3.471468273,0.999076561,0.940923379,1.18571191,1.155943189,1.699600389
50,2342,5,20,88.32730848,88.32730848,1910.52922,1592.783329,162.6034594,60.83952157,42.93053971,46.72398744,33.20683796,61.65100286,61.65100286,66.50638466,106.2455002,105.971311,81.52307054,55.50790739,41.01586302,25.69364933,1.432698649,1.432698649,28.72700463,14.99153682,1.534410191,0.746285943,0.773413046,1.139168702,1.292414228
46,2511,5,20,12.67268859,12.67268859,12.55342528,27.50336134,25.93425045,25.91304128,25.94738558,24.76682411,25.12945675,38.49800838,38.49800838,36.65075259,25.59581286,20.829132,15.06764094,8.664711216,5.240182663,7.434912624,0.329177771,0.329177771,0.342514802,1.074525802,1.245095112,1.719780912,2.994604775,4.726328395,3.379926305
47,2511,5,20,-0.452668763,-0.452668763,31.99139079,31.48829047,30.47209454,30.19072734,30.38811583,14.40640912,30.25824939,39.15818185,39.15818185,36.93432558,28.63763984,20.47121629,12.76352458,9.518897349,6.418441537,4.588747991,-0.011560005,-0.011560005,0.866169621,1.099542094,1.488533661,2.365391091,3.192398733,2.244533823,6.594009836
48,2511,5,20,11.67109519,11.67109519,25.47126934,26.33610951,42.44555033,30.92347378,30.56754132,29.94159179,13.84176519,40.07678381,40.07678381,37.75905503,29.23885147,20.11794195,11.94631884,12.18786755,7.873469896,4.442580766,0.291218358,0.291218358,0.674573803,0.90072312,2.10983561,2.588535783,2.508030317,3.802845783,3.115703668
